equation,residual
J7:outlet_1_pressure_flow,3.68743068807076367e-12
J8:mass_conservation,-1.85776756920534858e-02
J8:outlet_0_pressure_flow,5.78883719538654897e-12
J8:outlet_1_pressure_flow,2.92232714234908198e-13
J9:mass_conservation,5.89286803782396174e-03
J9:outlet_0_pressure_flow,9.34939794543473543e-13
J9:outlet_1_pressure_flow,-3.43810553230859673e-14
J10:mass_conservation,8.05448378607516169e-02
J10:outlet_0_pressure_flow,-3.16306359445452989e-14
J10:outlet_1_pressure_flow,-2.52196357919148990e-13
J11:mass_conservation,-7.92995414146535627e-02
J11:outlet_0_pressure_flow,1.98540654432141453e-12
J11:outlet_1_pressure_flow,2.81863324078739683e-13
