equation,residual
J6_bif1:outlet_0_pressure_flow,0.00000000000000000e+00
J6_bif1:outlet_1_pressure_flow,-7.05844792482672918e-12
J6_bif2:mass_conservation,8.88178419700125232e-16
J6_bif2:outlet_0_pressure_flow,0.00000000000000000e+00
J6_bif2:outlet_1_pressure_flow,2.12341323204068145e-12
J7:mass_conservation,-1.57921821586468170e-01
J7:outlet_0_pressure_flow,2.61983638426774673e-12
J7:outlet_1_pressure_flow,-4.32630784172164019e-12
J8:mass_conservation,-1.85776756920534858e-02
J8:outlet_0_pressure_flow,6.34014186965936851e-12
J8:outlet_1_pressure_flow,2.92232714234908198e-13
J9:mass_conservation,4.46224346858461463e-02
J9:outlet_0_pressure_flow,-1.14192149547517609e-13
J9:outlet_1_pressure_flow,4.76433247893396434e-15
J10:mass_conservation,8.05448378607516169e-02
J10:outlet_0_pressure_flow,-3.16306359445452989e-14
J10:outlet_1_pressure_flow,-2.52196357919148990e-13
J11:mass_conservation,-4.12755145526726430e-02
J11:outlet_0_pressure_flow,1.43402216778480763e-13
J11:outlet_1_pressure_flow,-1.45304617906319371e-14
J12:pressure_continuity_0,0.00000000000000000e+00
J12:mass_conservation,0.00000000000000000e+00
J13:pressure_continuity_0,0.00000000000000000e+00
J13:mass_conservation,0.00000000000000000e+00
J14:pressure_continuity_0,0.00000000000000000e+00
J14:mass_conservation,0.00000000000000000e+00
J15:pressure_continuity_0,0.00000000000000000e+00
J15:mass_conservation,0.00000000000000000e+00
