name,time,flow_in,flow_out,pressure_in,pressure_out
branch0_seg0,1.9019019019019021e-02,1.7489999999999984e+02,1.7489999999974052e+02,2.9073302502429855e+04,2.9019580697456335e+04
branch0_seg0,2.0020020020020020e-02,1.7490000000000009e+02,1.7490000011663369e+02,2.9073302260478387e+04,2.9019580522826964e+04
branch0_seg0,2.1021021021021019e-02,1.7489999999999995e+02,1.7490000009651698e+02,2.9073301822423786e+04,2.9019580174944727e+04
branch0_seg0,2.2022022022022022e-02,1.7490000000000003e+02,1.7489999997827323e+02,2.9073301672734644e+04,2.9019580049355241e+04
branch0_seg0,2.3023023023023025e-02,1.7489999999999998e+02,1.7489999989751283e+02,2.9073301931151793e+04,2.9019580242478809e+04
branch0_seg0,2.4024024024024024e-02,1.7490000000000003e+02,1.7489999993788038e+02,2.9073302267642306e+04,2.9019580503902383e+04
branch0_seg0,2.5025025025025023e-02,1.7490000000000001e+02,1.7490000004094907e+02,2.9073302307164635e+04,2.9019580544028777e+04
branch0_seg0,2.6026026026026026e-02,1.7490000000000001e+02,1.7490000008433586e+02,2.9073302048704922e+04,2.9019580352966484e+04
branch0_seg0,2.7027027027027029e-02,1.7490000000000001e+02,1.7490000002916963e+02,2.9073301817909549e+04,2.9019580170017842e+04
branch0_seg0,2.8028028028028028e-02,1.7490000000000001e+02,1.7489999995266419e+02,2.9073301857407718e+04,2.9019580187692351e+04
branch0_seg0,2.9029029029029027e-02,1.7490000000000001e+02,1.7489999993942055e+02,2.9073302079215904e+04,2.9019580357749219e+04
branch0_seg0,3.0030030030030030e-02,1.7490000000000001e+02,1.7489999999078856e+02,2.9073302221192334e+04,2.9019580476238345e+04
branch0_seg0,3.1031031031031032e-02,1.7490000000000001e+02,1.7490000004413599e+02,2.9073302147642862e+04,2.9019580423550604e+04
branch0_seg0,3.2032032032032032e-02,1.7490000000000001e+02,1.7490000004401367e+02,2.9073301966376650e+04,2.9019580282724844e+04
branch0_seg0,3.3033033033033031e-02,1.7490000000000001e+02,1.7489999999624376e+02,2.9073301885538782e+04,2.9019580217162995e+04
branch0_seg0,3.4034034034034030e-02,1.7490000000000001e+02,1.7489999995890085e+02,2.9073301978985703e+04,2.9019580284286465e+04
branch0_seg0,3.5035035035035036e-02,1.7490000000000001e+02,1.7489999997194542e+02,2.9073302120308395e+04,2.9019580393310916e+04
branch0_seg0,3.6036036036036036e-02,1.7490000000000001e+02,1.7490000001298586e+02,2.9073302149899566e+04,2.9019580422017370e+04
branch0_seg0,3.7037037037037035e-02,1.7490000000000001e+02,1.7490000003326983e+02,2.9073302054397300e+04,2.9019580351304634e+04
branch0_seg0,3.8038038038038041e-02,1.7490000000000001e+02,1.7490000001531098e+02,2.9073301955183422e+04,2.9019580271798841e+04
branch0_seg0,3.9039039039039040e-02,1.7490000000000001e+02,1.7489999998417073e+02,2.9073301957221818e+04,2.9019580269686594e+04
branch0_seg0,4.0040040040040040e-02,1.7490000000000001e+02,1.7489999997425625e+02,2.9073302042981282e+04,2.9019580335254810e+04
branch0_seg0,4.1041041041041039e-02,1.7490000000000001e+02,1.7489999999307145e+02,2.9073302109449676e+04,2.9019580388513183e+04
branch0_seg0,4.2042042042042038e-02,1.7490000000000001e+02,1.7490000001674500e+02,2.9073302088438759e+04,2.9019580374684974e+04
branch0_seg0,4.3043043043043044e-02,1.7490000000000001e+02,1.7490000001903488e+02,2.9073302014914712e+04,2.9019580318599015e+04
branch0_seg0,4.4044044044044044e-02,1.7490000000000001e+02,1.7490000000043906e+02,2.9073301975606624e+04,2.9019580286336808e+04
branch0_seg0,4.5045045045045043e-02,1.7490000000000001e+02,1.7489999998428010e+02,2.9073302007488815e+04,2.9019580308631168e+04
branch0_seg0,4.6046046046046049e-02,1.7490000000000001e+02,1.7489999998747831e+02,2.9073302065333442e+04,2.9019580353576523e+04
